16,310000000000002 3,398486842105262
20,25 3,8026582278481023
21,26 4,063899371069184
18,48 4,454000000000003
17,04 4,582292993630573
21,05 5,441290322580645
19,14 5,481329113924053
23,660000000000004 5,951202531645571
22,92 5,970769230769229
23,120000000000005 6,5334394904458595
26,91 6,7816993464052295
21,200000000000003 6,520192307692308
19,07 6,682207792207792
23,55 7,530320512820513
21,180000000000003 6,718343949044584
23,090000000000003 6,542451612903226
23,300000000000004 6,931677419354839
22,940000000000005 6,734423076923081
21,030000000000005 6,896942675159235
23,070000000000004 7,02981012658228
22,990000000000002 6,811783439490446
23,650000000000006 7,483071895424839
23,400000000000006 7,213544303797471
23,970000000000002 7,814777070063693
21,040000000000003 7,677105263157894
27,200000000000003 7,750855263157897
23,610000000000003 8,021612903225808
24,26 8,441568627450978
27,910000000000004 8,422389937106919
26,400000000000002 8,4753642384106
23,280000000000005 8,370573248407643
21,250000000000004 8,071543209876543
27,32 7,7598089171974545
27,69 8,215228758169939
22,8 7,40012903225806
23,250000000000004 7,953161290322587
27,78 8,732941176470591
23,07 8,526335403726707
22,910000000000004 8,198516129032258
27,99 8,678012820512823
23,44 8,000132450331126
23,750000000000004 8,075153374233123
23,630000000000003 8,318258064516126
23,14 8,451558441558443
27,74 8,754312500000001
23,830000000000002 8,492264150943395
23,710000000000004 9,00670807453416
21,01 8,53283870967742
18,860000000000003 7,891168831168835
27,87 8,044675324675328
23,540000000000003 8,153812499999997
28,160000000000004 8,906948051948053
23,730000000000004 8,2226582278481
20,830000000000002 8,273227848101264
23,460000000000004 8,292641509433961
27,93 8,179493670886071
20,01 8,008789808917198
27,44 8,373892617449664
21,230000000000004 7,94455128205128
20,930000000000003 7,597388535031849
21,19 7,909354838709676
21,340000000000003 8,166339869281044
28,009999999999998 8,193057324840767
23,240000000000002 8,266838709677423
27,710000000000004 8,345620915032683
27,910000000000004 8,726363636363637
27,88 8,344480519480522
21,290000000000003 8,29230263157895
27,42 9,025375
24,330000000000002 8,195359477124184
24,18 9,199245283018868
24,82 8,194451612903226
20,830000000000002 8,858717948717953
24,52 9,066601307189542
27,660000000000004 9,740062893081756
24,310000000000002 9,244675324675326
23,98 10,217229729729734
24,390000000000004 9,168924050632906
26,85 9,882243589743592
23,060000000000006 10,18128378378378
26,55 10,022784810126582
26,660000000000004 9,741049382716042
23,410000000000004 9,883227848101269
26,53 9,842345679012345
27,490000000000002 10,394904458598727
27,14 10,737283950617288
23,92 9,627639751552795
26,160000000000004 9,870437499999998
21,060000000000002 10,114567901234567
27,34 10,385333333333332
27,800000000000004 9,996341463414629
27,800000000000004 10,52664596273292
24,37 10,138727272727268
21,41 9,81114457831325
27,710000000000004 9,977302631578944
26,98 10,739205298013239
27,79 10,718933333333336
27,380000000000003 10,296909090909091
23,270000000000003 10,562847682119202
27,62 10,055499999999999
