1,8130000000000002 1,6820266666666672
8,609999999999982 1,69528
9,585999999999986 1,8302800000000001
9,323999999999984 2,263013333333333
9,472999999999985 3,346819999999992
9,280999999999983 4,125239999999993
9,79099999999999 4,397873333333327
114,64899999999659 5,803399999999969
120,34899999999661 7,578806666666589
127,34899999999632 22,977523178807402
123,64899999999653 21,617739999999515
120,89899999999658 22,805324503310707
122,39899999999649 22,133947019867023
122,39899999999638 22,88969536423786
123,7989999999963 24,710138157894132
122,44899999999649 36,93090196078332
123,6489999999963 38,472477419353794
121,4989999999962 37,81606040268355
126,64899999999625 32,54145751633902
125,49899999999609 39,85532894736736
120,99899999999646 33,14820129870043
124,09899999999617 38,618088607593876
125,39899999999643 31,9065290322572
126,64899999999625 38,81531168831063
125,14899999999656 38,399774193547344
123,94899999999618 37,645599999998986
119,79899999999641 36,67842483660031
125,5489999999962 44,72231578947243
121,6989999999963 39,51212258064407
122,59899999999637 38,42463636363529
