70,87248322147651
126,1744966442953
112,85234899328859
123,42281879194631
124,93288590604027
140,0
148,3221476510067
162,81879194630872
155,0
197,78523489932886
181,8791946308725
198,4228187919463
199,53020134228188
180,5704697986577
198,05369127516778
191,64429530201343
206,71140939597316
240,83333333333334
259,76510067114094
242,74834437086093
265,06666666666666
236,33333333333334
340,1333333333333
314,20529801324506
289,6308724832215
241,88741721854305
302,5
282,8666666666667
311,40939597315435
270,96026490066225
290,89403973509934
302,05298013245033
286,72185430463577
302,3154362416107
343,5430463576159
287,9
256,74342105263156
279,46666666666664
315,1666666666667
308,93333333333334
315,0993377483444
335,49668874172187
328,3
294,1666666666667
300,03355704697987
290,06666666666666
288,93333333333334
316,46666666666664
302,96666666666664
302,5165562913907
296,887417218543
342,3333333333333
328,3666666666667
329,06666666666666
315,06711409395973
344,8666666666667
360,94594594594594
358,9
395,0
311,3666666666667
338,38926174496646
371,1333333333333
313,0132450331126
350,7
285,1
350,80536912751677
299,3333333333333
344,09395973154363
319,2281879194631
337,5503355704698
301,3907284768212
323,8255033557047
309,3
328,7248322147651
330,1666666666667
325,8724832214765
329,6308724832215
405,3
366,9463087248322
276,9
339,17218543046357
328,5
349,76666666666665
345,3
356,23333333333335
360,06666666666666
350,53691275167785
359,46666666666664
304,93333333333334
341,23333333333335
329,50331125827813
323,27814569536423
360,7615894039735
361,73333333333335
348,73333333333335
371,3486842105263
363,34437086092714
392,4503311258278
349,0
389,4370860927152
404,5973154362416
315,82236842105266
365,72847682119203
366,8666666666667
425,73825503355704
338,1
388,5430463576159
355,6666666666667
374,06666666666666
357,2
453,27702702702703
410,8333333333333
333,5855263157895
394,8
375,23489932885906
326,4429530201342
398,8333333333333
457,0
460,90604026845637
370,97972972972974
394,73333333333335
408,7248322147651
366,3758389261745
379,96666666666664
389,8333333333333
435,7432432432432
446,64473684210526
403,0
437,0469798657718
412,23333333333335
408,87417218543044
480,46666666666664
491,87919463087246
436,43333333333334
448,53333333333336
416,3333333333333
424,4295302013423
358,1333333333333
384,1275167785235
406,3245033112583
379,5
443,57615894039736
380,80536912751677
441,3907284768212
421,23333333333335
380,82781456953643
388,8590604026846
387,0
359,9
427,2
404,3666666666667
342,4
429,8
406,6118421052632
436,77852348993287
429,4
373,5
431,1409395973154
434,03973509933775
429,06666666666666
405,33112582781456
430,1333333333333
395,3666666666667
405,0
449,63576158940396
422,751677852349
380,26666666666665
455,3666666666667
367,4503311258278
431,6666666666667
402,8859060402685
372,8666666666667
432,0198675496689
378,27814569536423
422,3666666666667
400,8333333333333
383,7828947368421
391,46666666666664
402,7
363,57615894039736
375,8666666666667
396,5
385,8666666666667
413,8
431,6
347,8523489932886
358,1666666666667
401,76666666666665
422,61744966442956
360,73825503355704
321,0855263157895
346,5
407,5165562913907
377,6333333333333
375,0
426,6666666666667
435,1333333333333
395,3333333333333
430,9
428,7417218543046
