1,7000000000000002 1,570666666666667
16,58 1,7586666666666657
16,590000000000003 2,0852666666666666
24,53 3,7904666666666706
28,209999999999997 6,581400000000002
25,44 7,461066666666667
25,72 6,96233333333333
28,409999999999997 8,220400000000001
27,25 8,288666666666666
24,97 7,543200000000005
17,19 8,011073825503358
17,240000000000002 9,42640522875817
17,270000000000003 10,761842105263153
17,55 10,472697368421045
28,299999999999997 10,736797385620914
21,36 10,529281045751631
21,84 11,838874172185431
24,05 12,160939597315439
27,3 11,177814569536423
22,240000000000002 11,39420382165605
25,520000000000003 11,199808917197453
27,3 10,888216560509546
17,11 10,816242038216567
25,240000000000006 10,965660377358482
20,3 12,015483870967742
25,67 12,188687499999999
21,410000000000004 11,580125786163523
20,43 11,685786163522017
101,81000000000024 12,476052631578948
154,4100000000006 12,628238993710692
88,42000000000017 12,194968152866243
86,06000000000006 12,647133757961786
85,61000000000011 11,893687500000002
123,97000000000043 13,234200000000005
186,85000000000085 12,902549019607855
121,14000000000038 12,26813333333334
124,6200000000004 14,068266666666668
166,69000000000077 15,305792682926844
111,95000000000036 14,776234567901238
145,09000000000057 15,673612903225818
175,87000000000089 14,78384105960266
107,84000000000033 12,710604026845639
107,80000000000032 14,601006289308184
126,48000000000036 13,114605263157904
117,07000000000043 15,428193548387108
115,28000000000031 14,546477987421389
135,86000000000058 17,211614906832317
143,00000000000054 15,72980392156863
179,5600000000009 16,510927152317894
144,5400000000005 16,85422077922079
157,21000000000078 19,816993464052313
141,7100000000005 19,3247133757962
183,89000000000087 23,34051282051284
156,1800000000007 23,454580645161318
144,03000000000057 23,912420382165646
189,74000000000092 26,152763157894782
140,42000000000064 25,258896103896127
164,6200000000007 25,118000000000027
176,4200000000009 31,269490445859915
131,88000000000045 26,43346153846156
148,97000000000062 29,20735849056608
170,04000000000113 29,721794871794902
165,7200000000007 32,06696202531649
140,1800000000005 32,517254901960804
159,13000000000073 35,16032467532473
182,17000000000095 33,51512987012991
191,88000000000093 38,7398089171975
161,6300000000008 34,101741935483886
180,02000000000092 36,27518987341776
190,75000000000097 32,78271523178812
168,63000000000073 34,35183006535949
186,8200000000009 37,53052980132456
185,4900000000009 34,526000000000046
166,7200000000007 39,21711538461543
169,3000000000007 37,13291390728481
180,3800000000009 42,30562913907291
215,04000000000107 40,66748387096781
191,61000000000084 42,939150326797446
157,71000000000063 44,621933333333416
163,29000000000067 38,724871794871866
187,4800000000008 40,913311258278185
203,60000000000096 42,723790849673286
168,1900000000008 41,5277483443709
204,21000000000106 41,04459459459465
199,370000000001 43,73746835443044
179,95000000000076 43,10853333333339
219,66000000000096 43,554533333333396
144,79000000000062 43,02460526315793
177,7300000000008 41,898775510204146
164,98000000000076 42,916025641025676
173,59000000000083 53,8215894039736
167,33000000000067 43,30946308724839
173,86000000000092 41,49238709677422
199,53000000000105 51,60806666666676
165,56000000000063 46,99987261146502
180,84000000000083 46,66771812080543
187,28000000000085 49,05811320754722
148,13000000000062 50,85091503267981
167,10000000000076 48,311032258064586
192,90000000000097 49,444903225806534
