0,0 0,0
0,0 0,0
0,0 0,0
0,0 0,0
0,0 0,0
8,315600000000003 2,9652266666666707
22,850400000000022 13,965170666666669
35,12440000000004 25,523300000000024
46,181600000000024 37,180299999999974
58,150000000000034 48,75111466666664
69,05720000000002 60,598337333333326
81,43120000000003 72,41428133333342
93,03840000000002 84,65767066666662
104,09560000000002 96,33963333333332
116,41400000000004 108,134379
127,82680000000003 119,64269400000002
139,23960000000002 131,38902733333342
150,65240000000006 142,8214353333333
162,66520000000003 154,23424999999995
173,77240000000003 165,45334066666666
185,12960000000004 177,3256483333335
197,30360000000005 188,57564700000023
208,66080000000005 200,24517133333316
220,98379999999997 211,53161633333332
231,03080000000003 223,22868566666676
243,50480000000002 234,33816033333346
254,36200000000005 245,61599233333357
266,0248 257,28225033333354
277,4820000000001 268,7766073333333
288,98920000000004 280,41631133333317
