best average
150,67860000000007 4,418370666666655
205,1534000000001 23,984258999999973
259,56130000000013 62,003164333333324
306,53490000000005 118,04594833333334
360,57950000000005 179,46932666666663
406,4169000000001 237,00953966666648
457,50410000000005 269,77142133333325
506,92650000000015 326,4578420000001
559,5404000000001 382,5130513333334
608,9961000000001 451,04458066666666
663,2907 484,3082960000001
715,1316000000002 537,7075593333329
768,7092000000001 587,3540753333335
816,8063999999999 678,1361403333333
870,0810000000001 720,933824666667
923,1976000000001 761,7497049999997
977,1025000000001 818,3763363333329
1030,3483000000003 901,465173333334
1082,4265 955,1931590000003
1134,6035000000002 1002,3801766666663
1187,9524999999999 1056,3092599999998
1245,4669 1109,3222103333337
1296,6559000000002 1169,6573346666669
1348,2228000000002 1220,9742799999997
1402,4104000000002 1273,801740666666
1454,8068 1321,0402783333338
1509,6545 1378,4951523333339
1566,8087 1447,204871
1618,6671000000001 1466,2372513333337
1672,4047000000003 1553,457750666666
