9,350000000000001 2,021920529801326
9,360000000000001 2,913941176470589
9,24 3,4750847457627128
9,4 3,4663934426229517
9,280000000000001 3,506684782608695
9,48 3,844475138121547
9,260000000000002 3,732078651685394
9,350000000000001 3,820352941176469
9,810000000000002 4,022738095238096
9,260000000000002 4,256820809248557
9,48 4,240459770114944
9,48 4,671529411764705
9,32 4,400467836257312
9,24 4,703063583815027
9,4 4,424655172413792
9,510000000000002 4,630168539325845
9,350000000000001 5,049704142011834
9,290000000000001 4,778538011695907
9,380000000000003 4,91140350877193
9,21 5,372692307692309
9,280000000000001 5,442546583850935
9,280000000000001 5,460384615384617
9,23 5,8463087248322125
9,350000000000001 5,9782389937106934
21,290000000000003 5,854671052631582
14,600000000000001 6,0356774193548395
15,660000000000002 5,989006211180126
21,55 6,136209150326799
18,340000000000003 6,358220858895706
15,490000000000002 6,447199999999999
14,770000000000001 5,997857142857145
18,96 6,41448717948718
14,260000000000002 6,114480519480521
15,030000000000001 6,360067114093958
15,350000000000001 6,44837837837838
14,55 6,669444444444448
15,260000000000002 6,922763157894738
15,23 6,563999999999999
14,880000000000003 7,128580246913577
14,96 6,782298136645963
15,220000000000002 6,980592105263158
23,240000000000002 7,426459627329197
22,870000000000005 7,294187499999997
17,910000000000004 7,267777777777779
23,78 7,220322580645161
27,369999999999997 7,342675159235669
19,070000000000004 6,9915527950310565
19,61 7,292327044025153
19,110000000000003 7,541464968152866
19,430000000000003 7,122185430463577
23,010000000000005 7,4674691358024665
19,570000000000004 7,485030674846628
23,890000000000004 7,582266666666669
21,160000000000004 7,380727272727275
21,410000000000004 8,054013605442183
23,100000000000005 7,313062500000001
19,14 7,380121212121212
20,740000000000002 7,62110344827586
21,200000000000003 7,553374233128834
23,19 7,657162162162162
19,02 7,481
23,100000000000005 8,011411042944784
19,19 7,275471698113209
19,18 7,622967741935485
19,35 7,27872611464968
23,480000000000004 7,338598726114648
22,68 7,378650306748466
23,610000000000003 8,040745341614908
19,36 7,806551724137932
19,060000000000002 7,5840853658536584
19,37 7,655732484076432
19,14 7,427030303030308
21,070000000000004 7,38450617283951
18,53 7,352516129032256
23,270000000000003 7,40832258064516
20,92 7,571082802547777
23,530000000000005 7,291419753086421
19,310000000000002 7,663333333333337
18,610000000000003 7,382687499999998
24,020000000000003 7,754125
23,360000000000003 7,648116883116881
20,710000000000004 7,311750000000002
18,830000000000002 7,2951265822784785
19,11 6,939503105590067
23,490000000000006 7,327483870967739
23,150000000000006 7,283765432098765
23,230000000000004 7,6526666666666685
23,500000000000004 7,072484472049694
18,680000000000003 7,393680981595096
21,42 7,322451612903226
23,340000000000003 7,615290322580646
23,320000000000004 7,553187499999998
18,020000000000003 7,662356687898094
23,500000000000004 7,495185185185184
23,250000000000004 7,262215189873417
19,17 7,3106962025316475
18,94 7,326923076923072
23,940000000000005 7,517750000000002
23,650000000000002 7,306081081081084
23,01 7,155786163522016
