0,0 0,0
27,173300000000093 0,49418066666667093
62,781599999999976 20,098927333333425
100,34930000000001 58,8957260000001
129,92179999999993 86,97124133333342
149,8593 113,84560566666681
184,00690000000014 138,89544033333354
207,6409000000002 170,54187333333337
247,3891 197,7509270000003
274,91689999999994 229,82565433333352
306,89210000000014 257,73622200000034
331,27530000000013 283,3849466666667
360,6360000000001 315,7850439999999
406,4602000000001 346,34103433333337
435,2922000000001 377,3768640000003
456,3576000000001 404,39534833333323
531,5875 436,8190016666666
515,1616 463,1067966666665
552,6037000000001 496,3285290000002
572,0740000000001 523,4460420000001
607,1545 549,5117720930232
638,4235999999999 579,5417556666667
673,134 602,7439286666669
688,4530000000001 638,3632446666671
724,2778000000003 668,2777626666665
749,8607000000002 696,3171676666669
783,0548 732,544421262459
807,6399 759,6968566666674
839,37 788,4596408026765
862,5906000000001 814,5236615384615
