4,159999999999997 3,961599999999995
4,209999999999997 4,01326666666666
51,22000000000007 4,317866666666665
52,420000000000016 8,960933333333333
53,96999999999996 18,55680000000002
55,32999999999973 27,710400000000032
54,989999999999746 27,639600000000026
55,39999999999973 28,28680000000002
58,37999999999963 29,98234899328858
75,69999999999894 30,3157236842105
83,4599999999987 31,864407894736814
79,28999999999883 34,80324503311255
86,51999999999859 35,256447368421
88,92999999999853 36,99496732026133
87,31999999999857 38,04850649350637
89,44999999999838 33,24753164556951
89,09999999999842 33,759741935483746
86,2299999999987 35,715225806451514
92,13999999999832 35,17812499999993
87,61999999999853 34,0638124999999
127,8499999999969 38,38044871794861
126,95999999999694 37,08283018867915
91,67999999999836 38,70045454545444
127,00999999999695 40,094545454545354
109,65999999999767 39,07349693251521
104,2399999999978 41,64222929936291
109,84999999999766 40,70044303797458
113,00999999999749 41,392781456953514
126,21999999999699 41,22397260273957
109,39999999999768 39,18456249999988
112,22999999999752 39,97797546012258
127,09999999999694 41,26760273972588
126,19999999999702 38,8560493827159
126,19999999999703 39,80753012048182
126,98999999999694 40,38499999999985
116,08999999999739 42,24623376623361
126,639999999997 41,59887417218527
126,00999999999704 42,71523809523791
101,15999999999795 40,01614457831311
126,01999999999704 41,41253164556949
127,45999999999691 43,05999999999981
127,55999999999695 42,32524999999985
123,63999999999713 43,84903225806434
127,21999999999694 43,79418181818161
127,6599999999969 43,47327160493803
127,02999999999696 42,97025477706977
126,11999999999705 41,236103896103614
127,53999999999692 43,10993827160466
127,41999999999692 45,490503144653765
126,899999999997 44,992088607594575
126,14999999999702 44,65924050632884
126,13999999999699 46,378812499999654
126,82999999999696 43,98232704402483
127,28999999999692 45,45547169811289
126,21999999999699 43,6284713375793
126,00999999999704 42,749060402684265
110,43999999999761 45,748999999999725
126,38999999999703 43,94049999999969
127,11999999999694 44,77616352201223
126,04999999999704 45,89348101265786
126,83999999999699 47,821610738254634
127,41999999999692 46,39406249999963
127,09999999999692 45,36817610062858
126,62999999999701 44,538581081080714
126,569999999997 46,13753086419714
127,22999999999698 46,7743949044582
127,95999999999688 48,815696202531235
127,26999999999697 45,3595624999997
127,45999999999691 45,629615384615015
124,34999999999712 46,03712418300615
126,829999999997 47,26372670807416
127,38999999999697 43,65213836477951
127,53999999999691 41,52074534161459
126,64999999999696 41,768774193548055
127,36999999999696 41,94080745341578
126,99999999999693 42,726891891891576
127,26999999999694 43,22401315789435
127,00999999999698 41,87279220779186
126,57999999999703 44,531089743589355
126,45999999999701 44,391176470587865
126,749999999997 44,99481249999963
127,79999999999691 45,46403973509893
126,52999999999702 45,48405063291101
126,77999999999696 48,209308176100194
126,709999999997 45,86639240506289
127,14999999999694 46,857565789473234
112,19999999999752 45,58694267515885
124,6899999999971 46,815592105262745
127,00999999999694 45,79219354838668
126,42999999999701 45,56956521739089
126,92999999999697 45,47214285714243
126,95999999999694 42,741249999999596
127,37999999999695 45,11032679738521
126,46999999999697 44,923999999999616
126,079999999997 45,451830065359076
127,51999999999695 45,871886792452464
127,04999999999694 44,246898734176796
126,59999999999695 45,25793749999962
126,639999999997 45,056124999999646
126,82999999999696 46,7966666666663
