53,129999999999995 5,570816326530611
52,430000000000035 6,79305389221557
52,00000000000004 10,358176470588246
52,59000000000001 13,436797752809
58,089999999999776 12,023901098901101
58,429999999999744 11,448770949720675
58,519999999999754 14,276312849162027
57,679999999999794 14,951513513513525
55,579999999999856 14,359840425531921
57,98999999999975 14,9892105263158
58,209999999999766 15,777105263157893
58,52999999999975 17,239308510638306
58,359999999999786 17,77213903743317
59,44999999999974 17,2787765957447
58,91999999999973 16,185668449197873
58,339999999999755 15,697272727272729
57,75999999999976 14,798298969072167
57,78999999999978 14,166173469387765
58,22999999999976 15,010572916666673
58,88999999999973 15,367474226804129
69,17999999999935 15,61989898989899
57,64999999999978 16,48636363636365
69,53999999999934 17,88801075268818
63,58999999999955 18,98267759562843
62,50999999999959 19,650898876404494
64,84999999999948 19,923370786516866
56,359999999999644 21,642055555555572
62,67999999999954 22,218603351955327
56,239999999999654 21,635027932960902
62,989999999999526 22,6868715083799
65,22999999999949 22,450000000000024
56,12999999999984 22,71932584269665
62,62999999999954 23,336818181818202
58,47999999999975 25,769113924050657
57,989999999999775 24,400000000000027
58,769999999999754 26,68240259740262
56,379999999999825 30,309666666666697
58,31999999999975 30,319480519480546
57,77999999999978 30,827852348993304
56,16999999999983 30,36653333333338
56,91999999999962 30,622052980132484
63,259999999999515 31,56490066225168
79,75999999999883 30,351800000000026
79,37999999999892 30,972687500000006
80,6999999999988 30,828636363636384
71,0299999999992 32,18862745098042
77,65999999999897 31,17843750000001
69,30999999999929 30,993121019108305
77,88999999999889 33,069936708860794
69,60999999999925 35,271324503311284
84,44999999999865 33,954062500000006
69,67999999999925 35,66385620915035
77,089999999999 36,551717791411036
86,72999999999864 37,18674846625766
86,87999999999855 37,64146496815287
85,21999999999858 37,440000000000005
81,29999999999875 38,47962500000001
83,07999999999869 39,17547169811319
88,41999999999851 41,309032258064505
83,2999999999987 39,330179640718555
83,99999999999866 40,28080246913581
81,68999999999879 42,44939189189187
89,2499999999985 39,299575757575724
84,41999999999861 38,70484472049687
86,59999999999864 39,79487804878048
78,92999999999891 39,18854430379747
80,16999999999886 40,797682119205284
78,36999999999892 40,02251655629139
74,629999999999 40,32047297297299
79,73999999999882 40,65135135135136
94,12999999999826 40,15468965517238
71,1499999999992 38,9003550295858
83,83999999999867 38,290875000000014
85,40999999999855 38,045740740740726
85,29999999999859 39,29712418300651
81,66999999999877 37,08607594936709
86,22999999999854 38,35412903225806
87,45999999999852 38,26398773006134
79,22999999999884 41,17711656441721
84,07999999999868 37,735312500000006
81,9199999999987 39,78149350649353
82,89999999999874 38,444662576687115
86,17999999999871 39,5396794871795
86,05999999999852 39,25955414012738
84,7099999999987 39,72335403726705
86,78999999999857 40,58836363636366
87,31999999999861 39,41562913907283
85,00999999999871 38,26860606060607
87,24999999999852 38,5547682119205
81,71999999999878 37,803333333333306
83,73999999999864 38,09774999999999
90,20999999999839 38,19717791411042
81,28999999999876 38,50832298136646
81,11999999999874 39,701069182389936
75,41999999999906 36,27196319018402
88,41999999999848 36,679130434782614
84,30999999999865 37,88993827160491
89,18999999999849 36,4784905660377
86,19999999999855 37,48043478260871
86,20999999999859 37,89962499999997
