best average
3,6074000000000006 2,016679
16,7061 4,983023666666666
18,439500000000002 8,133223000000008
22,1936 11,670419333333335
25,2609 15,08748073089702
28,276399999999995 18,673151495016615
31,5869 22,068887417218534
90,39400000000049 25,492348844884493
60,879600000000174 28,929396699669976
108,23680000000056 32,47778637873758
106,98720000000047 36,612525827814565
123,16990000000055 41,352137541528265
146,42160000000064 46,36171966666666
112,94500000000046 51,32044000000006
168,19790000000066 56,85395900000001
167,28840000000054 62,57010165016508
184,11170000000072 71,32017384105961
187,36440000000064 76,48173900000009
226,46690000000092 84,43452508250834
200,67550000000062 91,51095562913918
229,67980000000085 101,31455149501672
247,498100000001 106,8440205980067
453,90799999999797 118,04878388157897
237,58390000000085 123,78283545150515
305,2039000000008 129,42093833333342
221,4955000000004 132,82637114754107
287,05300000000096 141,0803413907286
297,90030000000075 147,20169601328922
276,47300000000087 154,36779673202628
281,01760000000064 160,09571229235885
